t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770271229.1216755,1.2818578441500652,0.0,0.02000000000089473,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.00023671150865532767,-0.001624785924818351,-0.1683486177468045
1770271229.5368345,1.2818578441500652,0.0,0.020000000000733677,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.00018156771704200015,-0.0013122358987583843,-0.16844599579342143
1770271229.949562,1.2817226883029926,0.0,0.020000000000601616,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,-0.046111915379638525,-0.00012430416680747592,-0.001082725327905476,-0.16849518358309265
1770271230.3630285,1.2815872372090804,0.0,0.020000000000493325,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,0.02581173351627825,-9.674011674445445e-05,-0.0007666351645400718,-0.1592508668068235
1770271230.7805462,1.2815872372090804,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.13541666666666669,0.018026867200797665,0.13783848726526804,0.0005033953217394476,-0.011310559586758414
1770271231.1969364,1.2817787052834022,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,0.016164723511429287,0.1503362493873459,0.0035905982128075337,-0.011098698992430251
1770271231.6109614,1.2819791625988473,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.13541666666666669,0.022096197382962736,0.1495931351352244,0.0065258415865558006,-0.02225517070413601
1770271232.034838,1.2821859253799905,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.125,0.021930951079613317,0.1410902843832857,0.008256930161599053,-0.02310040369979715
1770271232.448555,1.2823795976507655,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.125,0.021300729045951268,0.1261781683526566,0.011195248081381056,-0.006524740626919912
1770271232.866615,1.2825418808662883,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.13541666666666669,0.018767593789660864,0.1338000576916061,0.013260304033920136,-0.004576759448184851
1770271233.2770617,1.2827056791973106,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.13541666666666669,0.007896048407703126,0.13607886604804173,0.014277488371569664,-0.003954637797073266
1770271233.713439,1.2828568692040436,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.14583333333333334,0.006453571346230407,0.13382869779882897,0.013443349430692624,-0.015582938470823184
1770271234.1340525,1.2829990518486494,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.11458333333333333,0.0076591741165829026,0.13274494562181308,0.011490368463845468,-0.020272507558795744
1770271234.5606792,1.2831581474572413,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.125,0.01714521288942707,0.12967138028192532,0.00986408211675541,-0.008474574302970155
1770271234.9864047,1.2833230591034883,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.125,0.016841833435923263,0.11456657301069974,0.010405821597949628,-0.0137056068564065
1770271235.4002075,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.10416666666666666,0.015289754498583361,0.09879312020860465,0.011137971521223243,-0.007522652939069432
1770271235.8222897,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.10416666666666666,0.015425500234695293,0.10074226762022083,0.012205457926315463,-0.005141168841144965
1770271236.2353024,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.10416666666666666,0.006606340534467455,0.10256938862383433,0.013136287738054992,-0.00495533462580005
1770271236.664475,1.2834606641507142,0.0,0.020000000000404528,1.2515569973015779,0.0,0.0914357924300433,0.11458333333333333,0.0057457457258096745,0.10197744088062491,0.011401522864874721,-0.015607257509558969
